date,shadow_pnl_points,shadow_trade_count,rolling_120_pnl_before_session,mr_enabled_for_session,source,status
2025-08-06,-1.3,3,156.4,True,seed,complete
2025-08-07,7.9,1,125.8,True,seed,complete
2025-08-08,1.2,3,133.7,True,seed,complete
2025-08-11,0.0,0,134.9,True,seed,complete
2025-08-12,0.0,0,103.2,True,seed,complete
2025-08-13,-3.6,1,83.4,True,seed,complete
2025-08-14,0.0,0,90.9,True,seed,complete
2025-08-15,5.3,2,86.6,True,seed,complete
2025-08-18,0.0,0,75.1,True,seed,complete
2025-08-19,4.9,1,91.7,True,seed,complete
2025-08-20,-2.8,3,95.3,True,seed,complete
2025-08-21,-13.6,1,92.5,True,seed,complete
2025-08-22,0.9,1,78.9,True,seed,complete
2025-08-25,0.0,0,79.8,True,seed,complete
2025-08-26,0.0,0,79.8,True,seed,complete
2025-08-27,5.9,1,88.4,True,seed,complete
2025-08-28,-6.1,1,94.3,True,seed,complete
2025-08-29,5.4,1,79.3,True,seed,complete
2025-09-01,0.0,0,87.8,True,seed,complete
2025-09-02,0.0,0,87.8,True,seed,complete
2025-09-03,0.0,0,87.8,True,seed,complete
2025-09-04,-0.7,2,75.6,True,seed,complete
2025-09-05,19.1,4,74.9,True,seed,complete
2025-09-08,0.0,0,84.6,True,seed,complete
2025-09-09,0.0,0,52.5,True,seed,complete
2025-09-10,0.0,0,61.2,True,seed,complete
2025-09-11,-7.6,1,47.0,True,seed,complete
2025-09-12,-10.6,1,39.4,True,seed,complete
2025-09-15,0.0,0,28.8,True,seed,complete
2025-09-16,-27.1,1,34.5,True,seed,complete
2025-09-17,-12.1,1,7.4,True,seed,complete
2025-09-18,0.0,0,-18.1,False,seed,complete
2025-09-19,-18.7,2,-25.9,False,seed,complete
2025-09-22,20.1,4,-44.6,False,seed,complete
2025-09-23,-15.4,4,-17.3,False,seed,complete
2025-09-24,-10.1,1,-53.9,False,seed,complete
2025-09-25,14.7,3,-38.9,False,seed,complete
2025-09-26,1.9,1,-24.2,False,seed,complete
2025-09-29,-9.6,1,-22.3,False,seed,complete
2025-09-30,-10.2,2,-31.9,False,seed,complete
2025-10-01,9.3,2,-42.1,False,seed,complete
2025-10-02,0.0,0,-32.8,False,seed,complete
2025-10-03,-3.2,2,-40.7,False,seed,complete
2025-10-06,0.0,0,-53.8,False,seed,complete
2025-10-07,8.9,1,-53.8,False,seed,complete
2025-10-08,7.8,2,-44.9,False,seed,complete
2025-10-09,0.0,0,-37.1,False,seed,complete
2025-10-10,7.8,2,-37.1,False,seed,complete
2025-10-13,-6.6,1,-29.3,False,seed,complete
2025-10-14,0.0,0,-35.9,False,seed,complete
2025-10-15,0.0,0,-35.9,False,seed,complete
2025-10-16,5.9,1,-35.9,False,seed,complete
2025-10-17,0.0,0,-30.0,False,seed,complete
2025-10-20,15.9,1,-30.0,False,seed,complete
2025-10-21,0.0,0,-14.1,False,seed,complete
2025-10-22,10.9,1,-14.1,False,seed,complete
2025-10-23,0.0,0,0.6,True,seed,complete
2025-10-24,0.0,0,0.6,True,seed,complete
2025-10-27,0.0,0,12.8,True,seed,complete
2025-10-28,0.0,0,12.8,True,seed,complete
2025-10-29,7.4,1,12.8,True,seed,complete
2025-10-30,-20.6,1,10.9,True,seed,complete
2025-10-31,-10.1,1,-9.7,False,seed,complete
2025-11-03,0.0,0,9.8,True,seed,complete
2025-11-05,0.0,0,9.8,True,seed,complete
2025-11-06,7.3,2,9.8,True,seed,complete
2025-11-07,0.0,0,31.7,True,seed,complete
2025-11-10,0.0,0,40.4,True,seed,complete
2025-11-11,8.6,4,40.4,True,seed,complete
2025-11-12,0.0,0,49.0,True,seed,complete
2025-11-13,9.8,2,49.0,True,seed,complete
2025-11-14,-0.7,2,58.8,True,seed,complete
2025-11-17,0.0,0,58.1,True,seed,complete
2025-11-18,2.9,1,58.1,True,seed,complete
2025-11-19,0.0,0,48.1,True,seed,complete
2025-11-20,15.2,3,48.1,True,seed,complete
2025-11-21,0.0,0,63.3,True,seed,complete
2025-11-24,0.0,0,63.3,True,seed,complete
2025-11-25,3.7,3,63.3,True,seed,complete
2025-11-26,0.0,0,67.0,True,seed,complete
