entry_time,exit_time,direction,side,entry_price,exit_price,gross_ticks,net_ticks,gross_ret,net_ret,reason,entry_liquidity,exit_liquidity,tp_plain,exit_from_cluster,entry_fee,exit_fee,total_fee,waited_ms_for_fill,hold_ms
2025-12-16T06:52:03.555+00:00,2025-12-16T06:55:29.919+00:00,short,-1,79589.0000,79554.0000,35.0000,33.0000,0.00043976,0.00041463,ExitCluster,maker,maker,79541.0000,1,1.0000,1.0000,2.0000,167,206364
2025-12-16T06:56:19.001+00:00,2025-12-16T06:56:34.928+00:00,short,-1,79569.0000,79561.0000,8.0000,6.0000,0.00010054,0.00007541,ExitCluster,maker,maker,79521.0000,1,1.0000,1.0000,2.0000,96,15927
2025-12-16T06:56:39.839+00:00,2025-12-16T06:58:06.431+00:00,short,-1,79569.0000,79633.0000,-64.0000,-66.0000,-0.00080433,-0.00082947,ExitAdverse,maker,maker,79521.0000,0,1.0000,1.0000,2.0000,389,86592
2025-12-16T06:58:37.307+00:00,2025-12-16T06:58:45.268+00:00,short,-1,79648.0000,79609.0000,39.0000,37.0000,0.00048965,0.00046454,ExitCluster,maker,maker,79600.0000,1,1.0000,1.0000,2.0000,149,7961
2025-12-16T06:58:45.755+00:00,2025-12-16T06:58:50.734+00:00,long,1,79588.0000,79602.0000,14.0000,12.0000,0.00017591,0.00015078,ExitCluster,maker,maker,79636.0000,1,1.0000,1.0000,2.0000,96,4979
2025-12-16T06:59:17.688+00:00,2025-12-16T06:59:52.071+00:00,short,-1,79669.0000,79606.0000,63.0000,61.0000,0.00079077,0.00076567,ExitCluster,maker,maker,79621.0000,1,1.0000,1.0000,2.0000,69,34383
2025-12-16T07:00:02.350+00:00,2025-12-16T07:00:02.879+00:00,long,1,79626.0000,79648.0000,22.0000,20.0000,0.00027629,0.00025117,ExitCluster,maker,maker,79674.0000,1,1.0000,1.0000,2.0000,184,529
2025-12-16T07:00:03.387+00:00,2025-12-16T07:00:04.084+00:00,long,1,79626.0000,79613.0000,-13.0000,-15.0000,-0.00016326,-0.00018838,ExitAdverse,maker,maker,79674.0000,0,1.0000,1.0000,2.0000,488,697
2025-12-16T07:00:35.633+00:00,2025-12-16T07:00:39.909+00:00,long,1,79516.0000,79509.0000,-7.0000,-9.0000,-0.00008803,-0.00011318,ExitAdverse,maker,maker,79564.0000,0,1.0000,1.0000,2.0000,222,4276
2025-12-16T07:00:40.197+00:00,2025-12-16T07:00:45.449+00:00,long,1,79501.0000,79524.0000,23.0000,21.0000,0.00028930,0.00026415,ExitCluster,maker,maker,79549.0000,1,1.0000,1.0000,2.0000,259,5252
2025-12-16T07:02:08.617+00:00,2025-12-16T07:02:12.445+00:00,long,1,79501.0000,79512.0000,11.0000,9.0000,0.00013836,0.00011321,ExitCluster,maker,maker,79549.0000,1,1.0000,1.0000,2.0000,219,3828
2025-12-16T07:02:12.785+00:00,2025-12-16T07:02:20.497+00:00,long,1,79507.0000,79526.0000,19.0000,17.0000,0.00023897,0.00021382,ExitCluster,maker,maker,79555.0000,1,1.0000,1.0000,2.0000,327,7712
2025-12-16T07:02:38.116+00:00,2025-12-16T07:02:49.530+00:00,short,-1,79549.0000,79571.0000,-22.0000,-24.0000,-0.00027656,-0.00030170,ExitAdverse,maker,maker,79501.0000,0,1.0000,1.0000,2.0000,102,11414
2025-12-16T07:03:02.997+00:00,2025-12-16T07:03:04.075+00:00,long,1,79590.0000,79599.0000,9.0000,7.0000,0.00011308,0.00008795,ExitCluster,maker,maker,79638.0000,1,1.0000,1.0000,2.0000,55,1078
2025-12-16T07:03:04.572+00:00,2025-12-16T07:03:12.529+00:00,long,1,79590.0000,79626.0000,36.0000,34.0000,0.00045232,0.00042719,ExitCluster,maker,maker,79638.0000,1,1.0000,1.0000,2.0000,453,7957
2025-12-16T07:03:22.210+00:00,2025-12-16T07:04:22.254+00:00,long,1,79616.0000,79610.0000,-6.0000,-8.0000,-0.00007536,-0.00010048,ExitAdverse,maker,maker,79664.0000,0,1.0000,1.0000,2.0000,167,60044
2025-12-16T07:05:01.251+00:00,2025-12-16T07:05:01.908+00:00,long,1,79507.0000,79517.0000,10.0000,8.0000,0.00012578,0.00010062,ExitCluster,maker,maker,79555.0000,1,1.0000,1.0000,2.0000,219,657
2025-12-16T07:05:01.924+00:00,2025-12-16T07:05:12.171+00:00,short,-1,79519.0000,79501.0000,18.0000,16.0000,0.00022636,0.00020121,ExitCluster,maker,maker,79471.0000,1,1.0000,1.0000,2.0000,65,10247
2025-12-16T07:05:14.548+00:00,2025-12-16T07:06:15.009+00:00,long,1,79501.0000,79458.0000,-43.0000,-45.0000,-0.00054087,-0.00056603,ExitAdverse,maker,maker,79549.0000,0,1.0000,1.0000,2.0000,427,60461
2025-12-16T07:06:15.545+00:00,2025-12-16T07:06:17.383+00:00,long,1,79451.0000,79460.0000,9.0000,7.0000,0.00011328,0.00008810,ExitCluster,maker,maker,79499.0000,1,1.0000,1.0000,2.0000,221,1838
2025-12-16T07:06:17.524+00:00,2025-12-16T07:06:18.169+00:00,long,1,79451.0000,79462.0000,11.0000,9.0000,0.00013845,0.00011328,ExitCluster,maker,maker,79499.0000,1,1.0000,1.0000,2.0000,123,645
2025-12-16T07:06:19.073+00:00,2025-12-16T07:06:23.172+00:00,long,1,79451.0000,79472.0000,21.0000,19.0000,0.00026431,0.00023914,ExitCluster,maker,maker,79499.0000,1,1.0000,1.0000,2.0000,218,4099
