entry_time,exit_time,direction,side,entry_price,exit_price,gross_ticks,net_ticks,gross_ret,net_ret,reason,entry_liquidity,exit_liquidity,tp_plain,exit_from_cluster,entry_fee,exit_fee,total_fee,waited_ms_for_fill,hold_ms
2025-12-11T11:12:03.230+00:00,2025-12-11T11:12:14.238+00:00,short,-1,79458.0000,79446.0000,12.0000,10.0000,0.00015102,0.00012585,ExitCluster,maker,maker,79408.0000,1,1.0000,1.0000,2.0000,133,11008
2025-12-11T11:13:21.271+00:00,2025-12-11T11:13:45.284+00:00,short,-1,79461.0000,79470.0000,-9.0000,-11.0000,-0.00011326,-0.00013843,ExitAdverse,maker,maker,79411.0000,0,1.0000,1.0000,2.0000,675,24013
2025-12-11T11:17:11.388+00:00,2025-12-11T11:17:39.669+00:00,short,-1,79496.0000,79476.0000,20.0000,18.0000,0.00025158,0.00022643,ExitCluster,maker,maker,79446.0000,1,1.0000,1.0000,2.0000,940,28281
2025-12-11T11:19:01.319+00:00,2025-12-11T11:19:03.449+00:00,long,1,79422.0000,79436.0000,14.0000,12.0000,0.00017627,0.00015109,ExitCluster,maker,maker,79472.0000,1,1.0000,1.0000,2.0000,206,2130
2025-12-11T11:19:07.899+00:00,2025-12-11T11:19:10.845+00:00,long,1,79422.0000,79430.0000,8.0000,6.0000,0.00010073,0.00007555,ExitCluster,maker,maker,79472.0000,1,1.0000,1.0000,2.0000,65,2946
2025-12-11T11:19:12.002+00:00,2025-12-11T11:19:14.455+00:00,long,1,79417.0000,79428.0000,11.0000,9.0000,0.00013851,0.00011333,ExitCluster,maker,maker,79467.0000,1,1.0000,1.0000,2.0000,4,2453
2025-12-11T11:19:33.466+00:00,2025-12-11T11:19:46.473+00:00,short,-1,79445.0000,79462.0000,-17.0000,-19.0000,-0.00021398,-0.00023916,ExitAdverse,maker,maker,79395.0000,0,1.0000,1.0000,2.0000,541,13007
2025-12-11T11:22:03.842+00:00,2025-12-11T11:22:24.055+00:00,short,-1,79439.0000,79431.0000,8.0000,6.0000,0.00010071,0.00007553,ExitCluster,maker,maker,79389.0000,1,1.0000,1.0000,2.0000,72,20213
2025-12-11T11:22:24.563+00:00,2025-12-11T11:22:28.565+00:00,long,1,79421.0000,79427.0000,6.0000,4.0000,0.00007555,0.00005036,ExitCluster,maker,maker,79471.0000,1,1.0000,1.0000,2.0000,450,4002
2025-12-11T11:22:30.478+00:00,2025-12-11T11:22:36.568+00:00,long,1,79422.0000,79427.0000,5.0000,3.0000,0.00006295,0.00003777,ExitCluster,maker,maker,79472.0000,1,1.0000,1.0000,2.0000,209,6090
