session_date,traded_session,prev_close,yesterday_range,pre_prev_close,first_min_high,first_min_low,first_hour_price,session_start_ts_utc,session_end_ts_utc,session_high,session_low,session_close
2025-12-01,false,,,,77.440000,77.440000,77.840000,1764568740,1764622140,78.030000,77.340000,77.530000
2025-12-02,false,77.530000,0.690000,,77.560000,77.560000,77.490000,1764655140,1764708540,78.280000,77.200000,77.800000
2025-12-03,false,77.800000,1.080000,77.530000,77.850000,77.850000,78.250000,1764741540,1764794940,78.280000,76.680000,76.940000
2025-12-04,false,76.940000,1.600000,77.800000,76.900000,76.900000,76.790000,1764827940,1764881340,77.250000,75.550000,75.820000
2025-12-05,true,75.820000,1.700000,76.940000,75.890000,75.890000,75.520000,1764914340,1764967740,77.230000,75.340000,76.890000
2025-12-08,false,76.890000,1.890000,75.820000,76.700000,76.700000,77.090000,1765173540,1765226940,77.400000,76.440000,76.950000
2025-12-09,true,76.950000,0.960000,76.890000,77.050000,76.950000,76.960000,1765260000,1765313340,77.970000,76.700000,77.590000
2025-12-10,true,77.590000,1.270000,76.950000,77.590000,77.590000,77.960000,1765346340,1765399740,79.390000,77.490000,79.080000
2025-12-11,false,79.080000,1.900000,77.590000,79.100000,79.100000,79.160000,1765432740,1765486140,80.160000,78.670000,79.680000
2025-12-12,false,79.680000,1.490000,79.080000,79.690000,79.690000,79.530000,1765519140,1765572540,80.100000,79.170000,79.640000
2025-12-15,false,79.640000,0.930000,79.680000,79.770000,79.770000,79.650000,1765778340,1765831740,79.950000,79.200000,79.710000
2025-12-16,false,79.710000,0.750000,79.640000,79.700000,79.700000,79.750000,1765864740,1765918140,79.870000,79.480000,79.630000
2025-12-17,true,79.630000,0.390000,79.710000,79.640000,79.640000,79.850000,1765951140,1766004540,80.940000,79.590000,80.600000
2025-12-18,false,80.600000,1.350000,79.630000,80.600000,80.600000,80.780000,1766037540,1766090940,81.110000,80.060000,80.950000
2025-12-19,true,80.950000,1.050000,80.600000,80.970000,80.970000,81.000000,1766123940,1766177340,81.600000,79.790000,80.020000
2025-12-22,true,80.020000,1.810000,80.950000,79.870000,79.870000,79.700000,1766383140,1766436540,80.080000,78.470000,78.700000
2025-12-23,false,78.700000,1.610000,80.020000,78.700000,78.700000,78.560000,1766469540,1766522940,78.970000,78.090000,78.480000
2025-12-24,true,78.480000,0.880000,78.700000,78.480000,78.480000,78.530000,1766555940,1766609340,79.410000,78.260000,78.610000
2025-12-25,true,78.610000,1.150000,78.480000,78.700000,78.700000,78.530000,1766642340,1766695740,78.700000,77.760000,77.820000
2025-12-26,false,77.820000,0.940000,78.610000,77.820000,77.820000,77.610000,1766728740,1766782140,78.500000,77.370000,77.720000
2025-12-29,true,77.720000,1.130000,77.820000,77.820000,77.820000,77.980000,1766987940,1767041340,78.500000,77.580000,78.320000
2025-12-30,true,78.320000,0.920000,77.720000,78.330000,78.330000,78.280000,1767074340,1767127740,79.120000,78.070000,78.930000
2026-01-05,true,78.930000,1.050000,78.320000,78.970000,78.970000,79.100000,1767592740,1767646140,80.180000,78.940000,80.140000
2026-01-06,true,80.140000,1.240000,78.930000,80.100000,80.020000,79.950000,1767679200,1767732540,80.160000,79.150000,79.340000
2026-01-08,false,79.340000,1.010000,80.140000,79.350000,79.350000,79.430000,1767851940,1767905340,79.890000,79.100000,79.350000
2026-01-09,true,79.350000,0.790000,79.340000,79.390000,79.300000,79.320000,1767938400,1767991740,79.440000,78.460000,78.750000
2026-01-12,false,78.750000,0.980000,79.350000,78.920000,78.920000,78.620000,1768197540,1768250940,79.390000,78.420000,79.110000
2026-01-13,false,79.110000,0.970000,78.750000,79.120000,79.120000,79.150000,1768283940,1768337340,79.300000,78.720000,79.030000
2026-01-14,true,79.030000,0.580000,79.110000,79.020000,79.020000,79.000000,1768370340,1768423740,79.190000,78.220000,78.330000
2026-01-15,true,78.330000,0.970000,79.030000,78.420000,78.420000,78.520000,1768456740,1768510140,78.880000,77.850000,78.140000
2026-01-16,false,78.140000,1.030000,78.330000,78.140000,78.140000,77.850000,1768543140,1768596540,78.320000,77.660000,78.100000
2026-01-19,false,78.100000,0.660000,78.140000,78.150000,78.150000,78.300000,1768802340,1768855740,78.380000,77.770000,77.910000
2026-01-20,false,77.910000,0.610000,78.100000,77.910000,77.840000,77.830000,1768888800,1768942140,78.230000,77.740000,77.930000
2026-01-21,true,77.930000,0.490000,77.910000,77.970000,77.970000,78.060000,1768975140,1769028540,78.090000,76.410000,76.700000
2026-01-22,false,76.700000,1.680000,77.930000,76.740000,76.740000,76.520000,1769061540,1769114940,76.780000,75.750000,75.870000
2026-01-23,false,75.870000,1.030000,76.700000,75.870000,75.870000,75.890000,1769147940,1769201340,76.270000,75.570000,75.670000
