entry_ts_utc,exit_ts_utc,symbol,side,qty,entry_price,exit_price,commission_total,pnl_gross,pnl_net
1764932760,1764934320,USDRUBF,buy,352,76.71,77.12,0,144.3200000000038,144.3200000000038
1765292460,1765297620,USDRUBF,buy,349,77.71,77.93,0,76.78000000000456,76.78000000000456
1765371660,1765378380,USDRUBF,buy,347,78.33,78.68,0,121.45000000000296,121.45000000000296
1765958460,1765961160,USDRUBF,buy,340,80.37,80.43,0,20.400000000000773,20.400000000000773
1766152860,1766155140,USDRUBF,sell,341,80.25,79.95,0,102.29999999999903,102.29999999999903
1766401560,1766435460,USDRUBF,sell,348,78.84,78.73,0,38.2799999999998,38.2799999999998
1766574360,1766577900,USDRUBF,buy,347,79.13,79.39,0,90.22000000000178,90.22000000000178
1766660760,1766694660,USDRUBF,sell,353,78,77.85,0,52.95000000000201,52.95000000000201
1767013260,1767040200,USDRUBF,buy,352,78.46,78.38,0,-28.1599999999994,-28.1599999999994
1767099660,1767103560,USDRUBF,buy,350,78.9,79.09,0,66.4999999999992,66.4999999999992
1767600060,1767645000,USDRUBF,buy,346,79.9,80.04,0,48.4400000000002,48.4400000000002
1767708060,1767711660,USDRUBF,sell,348,79.53,79.18,0,121.79999999999802,121.79999999999802
1767949260,1767949440,USDRUBF,sell,353,78.7,78.59,0,38.8299999999998,38.8299999999998
1768381260,1768388820,USDRUBF,sell,354,78.62,78.45,0,60.180000000000604,60.180000000000604
1768478460,1768486080,USDRUBF,buy,354,78.81,78.14,0,-237.1800000000006,-237.1800000000006
1768982460,1768995540,USDRUBF,sell,357,77.57,77.44,0,46.40999999999838,46.40999999999838
1769418060,1769420400,USDRUBF,buy,364,76.31,76.48,0,61.88000000000062,61.88000000000062
1769601660,1769632200,USDRUBF,buy,361,77.07,76.81,0,-93.85999999999672,-93.85999999999672
1769691660,1769695560,USDRUBF,sell,364,76.2,75.9,0,109.19999999999897,109.19999999999897
1769774460,1769805000,USDRUBF,buy,363,76.73,76.67,0,-21.780000000000825,-21.780000000000825
1770019260,1770028200,USDRUBF,buy,357,77.86,77.08,0,-278.4600000000004,-278.4600000000004
1770199260,1770201120,USDRUBF,sell,357,77.13,76.95,0,64.25999999999736,64.25999999999736
1770721560,1770755460,USDRUBF,sell,358,77.23,77.53,0,-107.39999999999898,-107.39999999999898
1770807960,1770841800,USDRUBF,sell,357,77.13,77.37,0,-85.68000000000325,-85.68000000000325
1770991260,1770994200,USDRUBF,sell,358,76.76,76.67,0,32.22000000000122,32.22000000000122
