entry_time,exit_time,direction,side,entry_price,exit_price,gross_ticks,net_ticks,gross_ret,net_ret,reason,entry_liquidity,exit_liquidity,tp_plain,exit_from_cluster,entry_fee,exit_fee,total_fee,waited_ms_for_fill,hold_ms
2026-01-05T14:15:37.703+00:00,2026-01-05T14:15:47.975+00:00,long,1,81451.0000,81439.0000,-12.0000,-12.0020,-0.00014733,-0.00014735,ExitAdverse,maker,maker,81501.0000,0,1.0000,1.0000,2.0000,914,10272
2026-01-05T14:22:34.326+00:00,2026-01-05T14:22:48.884+00:00,long,1,81428.0000,81440.0000,12.0000,11.9980,0.00014737,0.00014734,ExitCluster,maker,maker,81478.0000,1,1.0000,1.0000,2.0000,870,14558
2026-01-05T14:23:30.014+00:00,2026-01-05T14:24:31.185+00:00,short,-1,81466.0000,81458.0000,8.0000,7.9980,0.00009820,0.00009818,ExitCluster,maker,maker,81416.0000,1,1.0000,1.0000,2.0000,955,61171
2026-01-05T14:25:12.576+00:00,2026-01-05T14:25:46.788+00:00,short,-1,81484.0000,81477.0000,7.0000,6.9980,0.00008591,0.00008588,ExitCluster,maker,maker,81434.0000,1,1.0000,1.0000,2.0000,847,34212
2026-01-05T14:30:22.149+00:00,2026-01-05T14:30:31.018+00:00,short,-1,81499.0000,81507.0000,-8.0000,-8.0020,-0.00009816,-0.00009819,ExitAdverse,maker,maker,81449.0000,0,1.0000,1.0000,2.0000,398,8869
2026-01-05T14:31:04.251+00:00,2026-01-05T14:32:13.010+00:00,long,1,81509.0000,81515.0000,6.0000,5.9980,0.00007361,0.00007359,ExitCluster,maker,maker,81559.0000,1,1.0000,1.0000,2.0000,1515,68759
2026-01-05T14:32:45.526+00:00,2026-01-05T14:33:09.722+00:00,short,-1,81549.0000,81558.0000,-9.0000,-9.0020,-0.00011036,-0.00011039,ExitAdverse,maker,maker,81499.0000,0,1.0000,1.0000,2.0000,607,24196
2026-01-05T14:36:50.515+00:00,2026-01-05T14:37:15.423+00:00,long,1,81532.0000,81521.0000,-11.0000,-11.0020,-0.00013492,-0.00013494,ExitAdverse,maker,maker,81582.0000,0,1.0000,1.0000,2.0000,492,24908
2026-01-05T14:38:30.104+00:00,2026-01-05T14:39:05.218+00:00,long,1,81502.0000,81487.0000,-15.0000,-15.0020,-0.00018404,-0.00018407,ExitAdverse,maker,maker,81552.0000,0,1.0000,1.0000,2.0000,1270,35114
2026-01-05T14:40:36.445+00:00,2026-01-05T14:41:13.254+00:00,long,1,81464.0000,81447.0000,-17.0000,-17.0020,-0.00020868,-0.00020871,ExitAdverse,maker,maker,81514.0000,0,1.0000,1.0000,2.0000,942,36809
2026-01-05T14:41:34.335+00:00,2026-01-05T14:42:03.211+00:00,long,1,81445.0000,81456.0000,11.0000,10.9980,0.00013506,0.00013504,ExitCluster,maker,maker,81495.0000,1,1.0000,1.0000,2.0000,468,28876
2026-01-05T14:52:56.543+00:00,2026-01-05T14:53:05.439+00:00,short,-1,81499.0000,81489.0000,10.0000,9.9980,0.00012270,0.00012268,ExitCluster,maker,maker,81449.0000,1,1.0000,1.0000,2.0000,835,8896
2026-01-05T14:54:13.792+00:00,2026-01-05T14:54:36.930+00:00,long,1,81482.0000,81463.0000,-19.0000,-19.0020,-0.00023318,-0.00023320,ExitAdverse,maker,maker,81532.0000,0,1.0000,1.0000,2.0000,141,23138
2026-01-05T15:00:31.822+00:00,2026-01-05T15:02:22.183+00:00,short,-1,81499.0000,81477.0000,22.0000,21.9980,0.00026994,0.00026992,ExitCluster,maker,maker,81449.0000,1,1.0000,1.0000,2.0000,686,110361
2026-01-05T15:04:02.649+00:00,2026-01-05T15:04:29.444+00:00,long,1,81451.0000,81436.0000,-15.0000,-15.0020,-0.00018416,-0.00018418,ExitAdverse,maker,maker,81501.0000,0,1.0000,1.0000,2.0000,98,26795
2026-01-05T15:05:13.792+00:00,2026-01-05T15:05:24.646+00:00,short,-1,81429.0000,81437.0000,-8.0000,-8.0020,-0.00009825,-0.00009827,ExitAdverse,maker,maker,81379.0000,0,1.0000,1.0000,2.0000,1693,10854
